"track_name","popularity","explicit","album_name","duration_seconds"
"The Adults Are Talking",77,FALSE,"The New Abnormal",309.053
"Someday",69,FALSE,"Is This It",183.44
"Reptilia",77,FALSE,"Room On Fire",219.826
"Last Nite",67,FALSE,"Is This It",193.373
"You Only Live Once",71,FALSE,"First Impressions Of Earth",189.226
"Call It Fate, Call It Karma",69,FALSE,"Comedown Machine",204.773
"Selfless",67,FALSE,"The New Abnormal",222.093
"Ode To The Mets",66,TRUE,"The New Abnormal",351.786
"Hard To Explain",57,FALSE,"Is This It",224.333
"Under Cover of Darkness",64,FALSE,"Angles",235.546
